"departamento","corporacion","circunscripción","partido","candidato","genero","descipcion_movimiento","codigo","region"
"COLOMBIA","CAMARA","AFRODESCENDIENTES","ALIANZA NACIONAL AFROCOLOMBIANA","LICENIA NULL CANDELO GRUESO","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","PALENQUE DE LA VEREDA LAS TRECIENTAS Y DEL MUNICIPIO DE GALAPA","PEDRO ADAN TORRES PEREZ","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","PALENQUE DE LA VEREDA LAS TRECIENTAS Y DEL MUNICIPIO DE GALAPA","ANA ROGELIA MONSALVE ALVAREZ","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","PALENQUE DE LA VEREDA LAS TRECIENTAS Y DEL MUNICIPIO DE GALAPA","EDISON ENRIQUE MASSA SAMPER","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO UNIÓN PATIA VIEJO","ELIECER CRECENCIO QUIÑONES ANGULO","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO UNIÓN PATIA VIEJO","SOR MARINA SOLIZ CLIMACO","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO UNIÓN PATIA VIEJO","NICOLAS ALBERTO PALACIO DELGADO","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO MAYOR DE CERTEGUI","RAYMOND SMITH PALOMEQUE PINO","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO MAYOR DE CERTEGUI","ISAIAS NULL ARIAS ARAGON","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO MAYOR DE CERTEGUI","LUIS ALBERTO PALACIOS MORALES","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS DE CAMPO HERMOSO","HERNANDO NULL MOSQUERA BARBOSA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS DE CAMPO HERMOSO","JUAN GERARDO MOSQUERA GIRALDO","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS DE CAMPO HERMOSO","JUSMELY NULL VALENCIA MONDRAGON","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA BOCAS DE ATRATO Y LEONCITO","EDGAR ENRIQUE MORALES ROMAÑA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA BOCAS DE ATRATO Y LEONCITO","DALLANA LINED PIEDRAHITA CORDOBA","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA BOCAS DE ATRATO Y LEONCITO","ANCIZAR NULL VERDEZA PATERNINA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","ASOCIACIÓN AFRODESCENDIENTES DE ARBOLETES ""AFRODESAR""","VERNE NULL CABALLERO BALLESTEROS","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","ASOCIACIÓN AFRODESCENDIENTES DE ARBOLETES ""AFRODESAR""","CIELO MARIA HINESTROZA MURILLO","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","AFROMUTATA","JULIO CESAR MOSQUERA MINA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","AFROMUTATA","ANYI MARCELA CALDERON CATAÑO","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE LA COSTA PACIFICA ""CONCOSTA""","PACIANO NULL ASPRILLA ARBOLEDA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE LA COSTA PACIFICA ""CONCOSTA""","ANGELICA NULL ASPRILLA PALACIOS","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE LA COSTA PACIFICA ""CONCOSTA""","JHAN CARLOS GARCIA DIAZ","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO VEREDAS UNIDAS UN BIEN COMÚN","MARIA CRISTINA RUIZ RENGIFO","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO VEREDAS UNIDAS UN BIEN COMÚN","CAMILO NULL OBANDO ANGULO","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO MAYOR CONDOTO IRÓ","DIEGO ARMANDO SANCHEZ ARBOLEDA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO MAYOR CONDOTO IRÓ","EDELMIRA NULL RIVAS ROBLEDO","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO INTEGRAL DE LLORO","CARLOS ALBERTO RENTERIA LEMOS","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO INTEGRAL DE LLORO","ESMIRNA MARIA GARRIDO TAPIA","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO LA VOZ DE LOS NEGROS","MILA MARIA PAZ CAMPAZ","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO ALTO PARAISO","LEDYS MARIA CASANOVA PONCE","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO ALTO PARAISO","ARNUL NULL CHARA URZURIAGA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO ALTO PARAISO","JUAN PABLO CAMPO NULL","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","ORGANIZACIÓN ÉTNICA DE COMUNIDADES AFROS LOS PALENKES","SANTANDER NULL AGUILAR VILLA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","ORGANIZACIÓN ÉTNICA DE COMUNIDADES AFROS LOS PALENKES","GLADYS ESTHER CERVANTES VARGAS","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","ORGANIZACIÓN ÉTNICA DE COMUNIDADES AFROS LOS PALENKES","HAMILSON NULL ARAGON RENTERIA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO RIO CRUBARADO","CRISTHIAN ANDRES SANCHEZ MORALES","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO RIO CRUBARADO","ROBINSON NULL ROBLEDO CORDOBA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO RIO CRUBARADO","NERLIN NULL MORENO ROVIRA","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO EL RECUERDO DE NUESTROS ANCESTROS DEL RIO MEJICANO","SANTIAGO NULL ARBOLEDA QUIÑONEZ","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO EL RECUERDO DE NUESTROS ANCESTROS DEL RIO MEJICANO","YULIZA NULL VALOYES CABRERA","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO EL RECUERDO DE NUESTROS ANCESTROS DEL RIO MEJICANO","SHAMYR NULL CAICEDO RIVAS","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS DE GUAYABAL","LUIS ERNESTO OLAVE VALENCIA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS DE GUAYABAL","ROYBER DONALDO FERNANDEZ OLIVELLA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS DE GUAYABAL","SAMIRA ELAISA RENTERIA MARTINEZ","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","PARTIDO COLOMBIA RENACIENTE","GUSTAVO ANDRES GONZALEZ VIAFARA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","PARTIDO COLOMBIA RENACIENTE","YOUSURIS NULL BARRIOS MERCHAN","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","PARTIDO COLOMBIA RENACIENTE","DARLEY KATHERINE QUINTO MOSQUERA","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO MANUEL ZAPATA OLIVELLA DE SAN ANTERO","JORGE IVAN MINA LASSO","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO MANUEL ZAPATA OLIVELLA DE SAN ANTERO","FELIX ANTONIO CASTILLO MOSQUERA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO MANUEL ZAPATA OLIVELLA DE SAN ANTERO","WILMAN NULL LARA PALACIOS","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO PIEDRAS BACHICHI DEL CORREGIMIENTO DE SANTA CECILIA","HERNAN NULL BANGUERO ANDRADE","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO PIEDRAS BACHICHI DEL CORREGIMIENTO DE SANTA CECILIA","VICTOR VLADIMIR VALLECILLA GONGORA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO PIEDRAS BACHICHI DEL CORREGIMIENTO DE SANTA CECILIA","MARYOY YOMANINA FREILE PALMEZANO","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO PUERTO GIRON","ROGER ALBEIRO GUZMAN LUGO","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO PUERTO GIRON","LUZ ELENA MOSQUERA BAZAN","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO COMUNIDADES NEGRAS DEL CORREGIMIENTO DE LA TOMA","ALI NULL BANTU ASHANTI","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO COMUNIDADES NEGRAS DEL CORREGIMIENTO DE LA TOMA","ARIEL ROSEBEL PALACIOS ANGULO","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO COMUNIDADES NEGRAS DEL CORREGIMIENTO DE LA TOMA","IDALMY NULL MINOTTA TERAN","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DEL RIO GUAJUI","CARLOS ADALBERTO ANGULO GONGORA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DEL RIO GUAJUI","NICOLE DAYANA CAICEDO CARABALI","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DEL RIO GUAJUI","CESAR AUGUSTO CABEZAS RIASCOS","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS FERNANDO RIOS  HIDALGO ELEGUA,","MIGUEL ABRAHAM POLO POLO","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS FERNANDO RIOS  HIDALGO ELEGUA,","MARIA INES VILLAFAÑA JULIO","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS FERNANDO RIOS  HIDALGO ELEGUA,","HELDER NULL ACOSTA SOLANO","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","FUNDACION PARA EL DESARROLLO SOCIAL DE COMUNIDADES NEGRAS","DIDIER NULL ANGULO ANGULO","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","FUNDACION PARA EL DESARROLLO SOCIAL DE COMUNIDADES NEGRAS","TEODOLINDA NULL ORDOÑEZ ERAZO","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE VILLA GLORIA","ROSSEMBERT NULL INDABURO MARTINEZ","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE VILLA GLORIA","CARLOS AUGUSTO MORENO SEPULVEDA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE VILLA GLORIA","ARLET MARIA MARTINEZ BARRIOS","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","MOVIMIENTO ALIANZA DEMOCRATICA AMPLIA","VICTOR HUGO GOLU MONTENEGRO","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","MOVIMIENTO ALIANZA DEMOCRATICA AMPLIA","JUAN MANUEL CUELLAR MENDOZA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","MOVIMIENTO ALIANZA DEMOCRATICA AMPLIA","DEICY PATRICIA CARABALI MOZORONGOY","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE BOCAS DE TAPARAL","ELIANA MARIA RUIZ VILLA","F","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","CONSEJO COMUNITARIO DE BOCAS DE TAPARAL","LUIS FERNANDO NEIRA RESTREPO","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO CONSERVADOR COLOMBIANO","GERARDO NULL YEPES CARO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""","SANDRA RAQUEL CASTAÑEDA SANABRIA","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""","JONATHAN ALEXANDER LUNA CARDENAS","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""","JOHANNA ANDREA MOLINA RODRIGUEZ","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""","WILLIAN NULL WALTEROS NAVARRO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""","EDNA YANETH BONILLA CAÑON","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""","FABIAN EDUARDO HENAO COLORADO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO POLÍTICO MIRA","JESSICA VIVIANA VILLADA CHAPETON","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO POLÍTICO MIRA","AUGUSTO ISAAC ULLOA CORVACHO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""","JAIME ARMANDO YEPES MARTINEZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""","MERLYN NULL BERMUDEZ PEREZ","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""","DIANA ELIZABETH GAITAN VILLAMARIN","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""","JORGE ORLANDO FRANCO DELGADO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""","SANDRA ROCIO MENESES TRUJILLO","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""","ERNESTO BERNARDO CUERO PORTELA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO CENTRO DEMOCRÁTICO","SILVIA CRISTINA ORTIZ AGUDELO","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO CENTRO DEMOCRÁTICO","CARLOS EDWARD OSORIO AGUIAR","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO CENTRO DEMOCRÁTICO","AGUSTIN MAURICIO PINTO RONDON","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO CENTRO DEMOCRÁTICO","ROSALBA NULL PERDOMO GALINDO","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO CENTRO DEMOCRÁTICO","LUZMILA NULL ROJAS NULL","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","PARTIDO CENTRO DEMOCRÁTICO","MILTON NULL RESTREPO RUIZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","COALICION PARTIDO CAMBIO RADICAL Y PARTIDO COLOMBIA JUSTA Y LIBRES","AQUILEO NULL MEDINA ARTEAGA","M","COALICIONES","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","COALICION PARTIDO CAMBIO RADICAL Y PARTIDO COLOMBIA JUSTA Y LIBRES","JORGE JAIR DUARTE ESCOBAR","M","COALICIONES","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","COALICION PARTIDO CAMBIO RADICAL Y PARTIDO COLOMBIA JUSTA Y LIBRES","MERCEDES NULL IBARRA VARGAS","F","COALICIONES","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","COALICION PARTIDO CAMBIO RADICAL Y PARTIDO COLOMBIA JUSTA Y LIBRES","OSCAR FERNANDO VIDES ARCINIEGAS","M","COALICIONES","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","COALICION PARTIDO CAMBIO RADICAL Y PARTIDO COLOMBIA JUSTA Y LIBRES","LEYDY NULL GOMEZ GARCIA","F","COALICIONES","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","COALICION PARTIDO CAMBIO RADICAL Y PARTIDO COLOMBIA JUSTA Y LIBRES","JUAN GUILLERMO BELTRAN AMORTEGUI","M","COALICIONES","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","COALICION CENTRO ESPERANZA- CAMARA TOLIMA","ADRIANA LORENA ROJAS CASTRO","F","COALICIONES","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","COALICION CENTRO ESPERANZA- CAMARA TOLIMA","JUAN CAMILO MENESES RUBIO","M","COALICIONES","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","COALICION CENTRO ESPERANZA- CAMARA TOLIMA","NANCY PAOLA LOPEZ NULL","F","COALICIONES","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","COALICION CENTRO ESPERANZA- CAMARA TOLIMA","CARLOS MARIO MARIN ROCHA","M","COALICIONES","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","COALICION CENTRO ESPERANZA- CAMARA TOLIMA","JOSE MARTIN GUERRA CORDOBA","M","COALICIONES","73","Centro Sur"
"TOLIMA","CAMARA","TERRITORIAL","COALICION CENTRO ESPERANZA- CAMARA TOLIMA","WILSON NULL CEDIEL MARIN","M","COALICIONES","73","Centro Sur"
