,descripcion,nombre,partido,instagram,facebook,linkedin,tiktok,web,twitter,Circunscripción,Grado de estudio,Profesión,Cuatrienio,Fecha de nacimiento,Edad,Lugar de nacimiento,Género,Whatsapp,Oficina,Teléfono Oficina,Correo Electrónico,YouTube
10,Es abogado de la Universidad Santo Tomás de Aquino de Bogotá y tiene una especialización en ciencia política de la Universidad de Ibagué. Además hizo estudios de finanzas públicas municipales en la Universidad de Ibagué y de márketing político en la Universidad Piloto.Sacado de: https://es.wikipedia.org/wiki/%C3%93scar_Barreto_Quiroga#cite_note-5,Óscar Barreto Quiroga,Conservador Colombiano,https://www.instagram.com/oscarbarretotol/?hl=es,https://www.facebook.com/OscarBarretoTol,,,,https://twitter.com/OscarBarretoTol,Circunscripción Nacional en Tolima,Especialización,Abogado/a,2022 - 2026,4 de julio de 1961,61,Ibagué,Masculino,,,,,
11,"Contadora Pública y actualmente es la Presidente Nacional del partido político Alianza Social Independiente – ASI. Como profesional ha desempeñado los cargos de: jefe de cartera del hospital; secretaria contable del Instituto de Deportes y Recreación – INDER; y coordinadora proyecto Plan Integral de Residuos Sólidos. Gerente triple A Agua, Alcantarillado y Aseo del Norte de Antioquia; gerente de la Empresa de Servicios Públicos de Briceño, Antioquia; y contratista del área de participación ciudadana de la Superintendencia de Servicios Públicos Domiciliarios Territorial Occidente.https://alianzasocialindependiente.org/berenice-bedoya-perez-perfil/",Sor Berenice Bedoya Pérez,Alianza Verde Centro Esperanza Coalición,https://www.instagram.com/berenicebedoya/,https://www.facebook.com/BereniceBedoyaPerez,,,,https://twitter.com/berenicebedoya1,Circunscripción Nacional en Antioquia,Universitaria,Contador/a,2022 - 2026,18 de mayo de 1972,51,Yarumal,Femenino,,Edificio Nuevo del Congreso Of. 329B,(57)(601) 3823000 EXT 3374 - 3373- 3372,berenice.bedoya@senado.gov.co,https://www.youtube.com/channel/UCBxseNfPuFUylonxo6_F7ng
12,"Soy profesor universitario e investigador del tema regional. Estudié en Francia mi maestría y en México mi doctorado, y he hecho de la antropología una forma de vida. Gracias a mi trabajo he recorrido la geografía nacional y conozco a fondo las múltiples realidades del país.Como líder y defensor de lo público he construido hombro a hombro con organizaciones urbanas, étnicas y campesinas, la movilización social, sus reivindicaciones y propuestas.Durante más de veinte años he dedicado mis esfuerzos al reconocimiento de la diversidad de formas de vida que encuentran en lo Común el camino hacia un bienestar responsable y solidario.Tomado de: perfil de facebook del candidato http://bit.ly/2oJLsa5",Carlos Alberto Benavides Mora,Pacto Histórico Coalición,,https://www.facebook.com/AlbertoBeMo/,,,,https://twitter.com/albertobemo,Circunscripción Nacional en Nariño,Doctorado,Antropólogo/a,2022 - 2026,Invalid Date,Sin edad asignada,Pasto,Masculino,,,3214912100,,https://www.youtube.com/channel/UC7YlqeJF-qOD7m3gui8FbsA
13,"Es médico-cirujano especializada en Gerencia de Servicios de Salud. Ha conseguido sus logros en el área de la medicina y la administración asumiendo y desempeñando el cargo de médico en el Hospital San Pedro, médico del Hospital Infantil, auditora médica del Hospital Departamental, médico Centro Hospital Guaitarilla E.S.E., Gerente Centro Hospital Guaitarilla E.S.E.Su trabajo continuo en el Municipio de Guaitarilla, le permitió conocer de cerca la problemática y el sentir de su gente; su excelente actividad como alcaldesa, en el periodo 2004-2007, le hizo concientizarse y sensibilizarse de las innumerables problemáticas, de ahí nace su impetuoso compromiso de lucha por la mujer nariñense, tanto de la ciudad como del sector rural, de las negritudes, de las comunidades indígenas, campesinas, artesanas y cabezas de familia.Fuente: https://www.lilianabenavides.com/",Diela Liliana Benavides Solarte,Conservador Colombiano,https://www.instagram.com/lilianabenavidessolarte/,https://www.facebook.com/dielaliliana.benavidessolarte,,,,,Circunscripción Nacional en Nariño,Especialización,Ciencias de la Salud,2022 - 2026,22 de abril de 1973,50,Pasto,Femenino,321 800 8758 / 318 548 0897,335B Ed. Nuevo Congreso,4325100 ext: 4423 - 4424 - 4425 - 4426,dilibes@hotmail.com,
14,"Es un joven cartagenero de 27 años, nacido un 13 de abril de 1991; egresado de la facultad de Derecho de la Universidad del Rosario y especialista en gobierno y gestión pública de la Universidad Javeriana.En su corta, pero destacada vida pública se ha desempeñado como: Asesor de la Dirección de Gobierno y Gestión Territorial del Ministerio del Interior, Asesor de la Primera Vicepresidencia de la Cámara de Representantes y Asesor de la Alcaldía de Cartagena.Tomado de: https://bit.ly/2RTptdu",Jorge Enrique Benedetti Martelo,Cambio Radical,,https://www.facebook.com/jorgeEBenedettiM/,,,,https://twitter.com/JorgeEBenedetti,Circunscripción Nacional en Córdoba,Especialización,Abogado/a,2022 - 2026,13 de abril de 1991,32,Cartagena,Masculino,,523B - 524B - Ed. Nuevo del Congreso,4325100 ext: 4088 - 4089 - 4350,,https://bit.ly/3hVKe7Q
15,"Nacido en Córdoba, administrador de empresas, ex alcalde municipal de Sahagún, Córdoba. Hermano de Musa Besaile Fayad.",Johny John Moisés Besaile Fayad,Partido de la U - Partido de la Unión por la Gente,,https://www.facebook.com/jhony.besaile.96,,,,https://twitter.com/UtlJohn,Circunscripción Nacional en Córdoba,Universitaria,Administrador/a de empresas,2022 - 2026,Invalid Date,Sin edad asignada,Sahagún,Masculino,,319B Ed. Nuevo Congreso,382 3000 ext: 4123 - 4124,,
16,"Es economista de la Universidad Externado de Colombia, con una especialización en Gerencia de la Universidad Pontificia Bolivariana. Fue Secretaria de Hacienda de Cereté, Tesorera de la Comisión Nacional de Regalías, Jefe de Planeación de la Dirección de Estupefacientes y, hasta octubre del año pasado, Subdirectora de Bienes de esa entidad.Sacado de:http://historico.presidencia.gov.co/sp/2008/enero/17/14172008.html",Liliana Esther Bitar Castilla,Conservador Colombiano,https://www.instagram.com/lilianabitarc/,https://www.facebook.com/lilianabitarc11,,,,https://twitter.com/Lilianabitarc,Circunscripción Nacional en Córdoba,Universitaria,Economista,2022 - 2026,16 de abril de 1973,50,Cereté,Femenino,,,,,
17,"Nacido y formado en la comuna número 5 de Medellín, barrio Boyacá las Brisas, estudiante primaria y secundaria instituciones públicas, abogado de la Universidad Autónoma de Medellín 1991, ex funcionario de la Rama Judicial área penal 1988-1991, Bienes y Zonas 1993-1998, ex Secretario de Gobierno Municipal de Támesis Antioquia 1992-1993,ex director Edatel s.a. esp, Gerente del Seguro Social en Antioquia años 1999 y 2000, Diputado de Antioquia periodos 2001- 2003 y 2004-2007, Presidente de esa Corporación 2006, Presidente de las Comisiones Internas de Presupuesto, Paz y Códigos, Ex vicepresidente Liga Antioqueña Futbol de salón y miembro actual del Comité Ejecutivo, Corporación Deportiva los Paisitas miembro Comisión Disciplinaria y miembro Comité Ejecutivo.Profesor Universitario hace 12 años en cátedras de Derecho Constitucional y Teoría del Estado actualmente UNAULA y LUIS AMIGO. Estudiante MAESTRÍA EN GOBIERNO Segundo semestre U de Medellín. Miembro Junta Directiva Encuentro Dirigentes del Suroeste Antioqueño 2004-2009. Especialista en Administraciòn Pública (ESAP), en Cultura Política (UNAULA), en Liderazgo (HISTADRUT ISRAEL), y en Gerencia Social (BID INDES WASHINTONG USA).",Germán Alcides Blanco Álvarez,Conservador Colombiano,,https://www.facebook.com/germanblancoa,,,,https://twitter.com/germanblancoA,Circunscripción Nacional en Antioquia,Especialización,Abogado/a,2022 - 2026,6 de noviembre de 1967,55,Medellín,Masculino,310 434 1565,Capitolio Piso 1,4325100 ext 5396 - 5397 - 5398,german_blanco@hotmail.com,
18,"Es Abogada, egresada de la Universidad Externado de Colombia, Especialista en Gerencia de Empresas Comerciales de la Universidad del Norte y Magister en Ciencias Jurídicas de la Universidad Pompeu Fabra de España.Incursionó en la política como Concejal de Cartagena en el periodo de 2001-2003 y luego se desempeñó como Asesora del Gobernador de Bolívar por 5 años, en los cuales trabajó en importantes proyectos Socio-Culturales en el Departamento.Nadia Blel Scaff, se ha destacado por presentar iniciativas enfocadas en mejorar la calidad de vida de las mujeres, adolescentes y niños. Durante estos pocos meses en el Congreso de la República, realizó un importante debate de control político para garantizar la atención integral de las jóvenes del Municipio del Carmen de Bolívar, afectadas por la aplicación de la Vacuna del Papiloma Humano.Actualmente se encuentra trabajando para presentar un Proyecto de Ley para reglamentar el uso del Plomo en el país ya que sus efectos nocivos atentan contra la salud de los niños y otro, para modernizar los modelos de atención y actualizar las multas en los casos de maltrato animal que se presenten en Colombia.Ver: http://nadiablel.com/acerca-de-la-senadora/",Nadia Georgette Blel Scaff,Conservador Colombiano,,https://www.facebook.com/nadia.blel,https://www.linkedin.com/profile/public-profile-settings?trk=prof-edit-edit-public_profile,,,https://twitter.com/nadiablel,Circunscripción Nacional en Bolívar,Maestría,Abogado/a,2022 - 2026,11 de agosto de 1981,41,Cartagena,Femenino,,413B - 414B Ed. Nuevo Congreso,382 3000 ext: 3714 - 3715,,https://www.youtube.com/user/NadiaBlel
19,"Hizo varios semestres de Comunicación Social en la Universidad de la Sabana. Escritor en Fox Telecolombia y Promotor en Fundación Manos Limpias Colombia. Es guionista conocido por sus novelas Sin tetas no hay paraíso, Sin senos sí hay paraíso, El capo, Pandillas, guerra y paz, Los Victorinos y Tres Caínes.Enlace Sigep: https://bit.ly/2TeSJ0X",Gustavo Bolívar Moreno,Pacto Histórico Coalición,https://www.instagram.com/gustavo_bolivar/,https://www.facebook.com/gustavobolivarsincensura/,,,,https://twitter.com/gustavobolivar,Circunscripción Nacional en Distrito Capital,Universitaria Incompleta,Comunicador/a social,2022 - 2026,22 de julio de 1966,56,Girardot,Masculino,,416 Ed. Nuevo Congreso,382 3000 ext: 3272 - 3277,,https://bit.ly/3sZkm18
20,"María Fernanda Cabal, nació en Cali, es politóloga egresada de la Universidad de los Andes, centro académico en el que antes de graduarse trabajó como directora del Programa Democracia del Departamento de Ciencia Política. A su Universidad regresó años después para organizar el programa Foros de Interés Ciudadano, lo que le permitió conocer muchas zonas de Bogotá y de varios departamentos del país y contribuir en poner marcha la Ley General de Educación y el Proyecto Educativo Institucional, PEI en seis colegios del Distrito.En España cursó un semestre de literatura e historia, en la Fundación Ortega y Gasset. Trabajó en la ciudad de Dayton Ohio, Estados Unidos en la Fundación Kettering, entidad sin ánimo de lucro, presidida por el señor David Mathews, quien se desempeñó como Secretario de Salud y Bienestar durante el gobierno del Presidente Gerald Ford, dedicada a trabajar y fomentar la metodología en los foros de deliberación pública, en donde se tenía como base el interés ciudadano, experiencia que le permitió conocer el inmenso valor que tiene para el pueblo norteamericano la cultura de espacios democráticos, participar de esos espacios que enriquecen a la sociedad norteamericana, así como las reuniones en las Iglesias, los eventos de barrio y la promoción de la participación de los estudiantes en las asociaciones universitarias y la metodología de los Foros de Interés Ciudadano con énfasis en la enseñanza de la deliberación de la comunidad para la creación de políticas públicas, conocimientos y experiencia que puso en práctica a su regreso a Colombia en la Universidad de los Andes.Su interés en las relaciones y el comportamiento de las comunidades le fue ampliando su experiencia a través del trabajo que realizó con el Comisionado Nacional para la Policía para el fortalecimiento de las relaciones entre la policía y la comunidad de San Cristóbal en Bogotá y posteriormente con el Ministerio del Interior en el Amazonas en desarrollo de programas sociales con indígenas, mujeres cabeza de familia y empleados públicos. La Gobernación del Atlántico la contrató para dar a conocer la Constitución Política de Colombia en varios municipios del departamento.En marzo del 2003 fundó la agencia de viajes para estudiantes Student Travel Center y hoy es una las dos empresas de este tipo para servicio a los jóvenes, con más trayectoria en el país y con los mejores productos.En el año 2006 fue nombrada por Mario Iguarán como Directora de Asuntos Internacionales de la Fiscalía General de la Nación. Entre sus logros se destaca el fortalecimiento de los lazos de cooperación con todos los países aliados. El Departamento de Justicia de Estados Unidos destacó su labor en esa oficina.María Fernanda Cabal se desempeñó durante siete años como presidenta de la Junta Directiva de la Fundación Colombia Ganadera. Como líder y entusiasta de esta iniciativa social, trabajó en la disminución de la pobreza rural. Conoció la experiencia de la Fundación Heifer, que fomenta la donación de formas de subsistencia rural, con el compromiso de retribuir con parte del beneficio a otra persona necesitada. La donación de vacas con la devolución de la primera cría es uno de sus programas más conocidos.María Fernanda adaptó el modelo de la Fundación y en asocio con Fedegán creó el Programa “Una vaca por la paz”, a través del cual a familias en condición de vulnerabilidad se les donaba una novilla preñada, como un aporte para superar la difícil situación alimentaria y monetaria que viven las familias campesinas. Gracias a su gestión logró que más de 500 empresas y ganaderos apoyaran esta iniciativa que se ha extendido a muchas regiones del país, hoy más de 1.700 familias se benefician de este programa.Las víctimas ganaderas de la violencia encontraron durante la gestión de María Fernanda Cabal, un acompañamiento jurídico, con la creación del Programa de Acompañamiento a las Víctimas Ganaderas de la Violencia, PAVIC, hoy más de 6.000 ganaderos encuentran acompañamiento y asesoría gratuita en el marco de la Ley 1448, Ley de Víctimas y Restitución de Tierras. En el año 2009 publicó el primer informe Acabar con el Olvido, que luego de un extenso y juicioso trabajo de investigación, dio a conocer al país y a la comunidad internacional, los casos de más de 3.000 víctimas ganaderas de la violencia.Luego de dos años de trabajo de la fundación en el programa de acompañamiento, realizó un segundo informe que fortalece y reconstruye la memoria histórica de las Víctimas en Colombia. El documento Acabar con el Olvido, Segundo informe, contiene los relatos de más de 1900 víctimas, e incluye más de 6000 nombres de ganaderos que se han aproximado al programa reportándose cómo víctimas.Enlace Sigep: https://bit.ly/37S9Z1m",María Fernanda Cabal Molina,Centro Democrático,https://www.instagram.com/mariafernandacabal/,https://www.facebook.com/MariaFdaCabal,,,,https://twitter.com/MariaFdaCabal,Circunscripción Nacional en Valle del Cauca,Universitaria,Politólogo/a,2022 - 2026,8 de agosto de 1966,56,Cali,Femenino,,616B Ed. Nuevo Congreso,382 3000 ext: 3422 - 4174,,https://bit.ly/3tRW3kL
21,"Este momposino que viene del sector privado lleva 15 años en Bogotá, donde estudió administración de empresas. Está en el Centro Democrático desde su fundación. En 2015 fue candidato a la Asamblea de Bolívar y de retorno a Bogotá, en la Alcaldía de Peñalosa ha sido contratista de Integración Social y de Bomberos. Es hermano de Isabel Sofía Cabrales, nuera del senador y expresidente Álvaro Uribe.Tomado de: La Silla Vacía",Enrique Cabrales Baquero,Centro Democrático,,https://www.facebook.com/kike.cabrales.77/timeline?lst=586708984%3A100028272700719%3A1550077585,,,,https://twitter.com/kikecabralesCD,Circunscripción Nacional en Bolívar,Universitaria,Abogado/a,2022 - 2026,17 de octubre de 1986,36,Santa Cruz de Monpox,Masculino,,Capitolio Nacional Piso 1,4325100 ext: 5180,,
