,descripcion,nombre,partido,instagram,facebook,linkedin,tiktok,web,twitter,Circunscripción,Grado de estudio,Profesión,Cuatrienio,Fecha de nacimiento,Edad,Lugar de nacimiento,Género,Whatsapp,Oficina,Teléfono Oficina,Correo Electrónico,YouTube
10,"Abogado de la Universidad Corporación Universitaria Remington. Especialización en Derecho Público de la Universidad Católica de Bogotá. Maestría en Desarrollo regional y planificación del territorio de la Universidad Autónoma de Manizales.Experiencia:– Concejal de La Dorada, Caldas. Año: 2008– Presidente de la Comisión Tercera del Concejo de La Dorada, Caldas. Año: 2008 – 2009.– Candidato a la Cámara de Representantes por el departamento de Caldas. Año: 2009.– Alcalde de La Dorada, Caldas. Año: 2012 – 2015.– Asesor jurídico del INPEC. Año: 2016.– Asesor jurídico de la Contraloría. Año: 2016.– Asesor jurídico del Ministerio de Vivienda. Año: 2016.– Representante a la Cámara por el departamento de Caldas. Año: 2018 – 2022Fuente: http://www.partidocambioradical.org/portfolios/rodrigo-lara-5-3-2-2-2/",Erwin Arias Betancur,Cambio Radical,https://www.instagram.com/erwinarias/,https://www.facebook.com/erwinariasb,,,,https://twitter.com/erwinarias,Circunscripción Territorial de Caldas en Caldas,Maestría,Abogado/a,2018-2022,16 de julio de 1984,38,Samaná,Masculino,,532B - 533B - Ed. Nuevo del Congreso,4325100 ext: 3653 - 3654 - 3662,erwinarias-positivo@hotmail.com,https://bit.ly/3vSGzjj
11,"Esta ingeniería industrial de la Universidad de los Andes. Maestría en Gobierno y Políticas Públicas de la Universidad Externado. Ha estado en el Centro Democrático desde sus inicios y fue su directora en el Meta. Ha trabajado en el sector privado en diversos cargos administrativos y en el sector público trabajó con la unidad de emprendimiento productivo de la Secretaria de Agricultura del Meta. gestionando recursos a pequeños y medianos productores, y fue gerente social de Aguas de Bogotá en 2016.Fue candidata a la Alcaldía de Villavicencio en 2015 y se quemó con 25.496 votos.Tomado de La Silla Vacía https://bit.ly/2LA45aL",Jennifer Kristin Arias Falla,Centro Democrático,https://www.instagram.com/jenniferariasf/?hl=es-la,https://www.facebook.com/jennifer.arias.5680899,,,,https://twitter.com/JenniferAriasF,Circunscripción Territorial de Meta en Meta,Maestría,Ingeniero/a,2018-2022,13 de enero de 1987,36,"Nueva York, Estados Unidos",Femenino,,341B - 345B - Ed. Nuevo del Congreso,4325100 ext: 4301 - 4304 - 4305,jennifer.arias@camara.gov.co,
12,"Hijo del ex representante liberal Fabio Alonso Arroyave. Abogado con énfasis en Derecho Público y métodos alternos de solución de conflictos, egresado de la Pontificia Universidad Javeriana Cali, 2012; Magister en Gobierno y Políticas Públicas de la Universidad Externado de Colombia (septiembre 2018). Diplomado en Conciliación en Derecho de la Cámara de Comercio de Cali, Curso de Gestión pública con el BID (Banco Interamericano de Desarrollo). Persona humanista con conocimiento crítico, democrático, ético, hábil para gerenciar y administrar las áreas de competencia profesional, con responsabilidad social y visión futurista. Con capacidad para ocupar cargos jurídicos y administrativos en el campo público y administrativo, en procesos de métodos alternos de solución de conflictos, y en las empresas del sector público y privado.Actividad Laboral:• Concejal de Santiago de Cali (2011-2015) y Presidente del mismo en el periodo (2014).• Asesor, Departamento Nacional de Planeación (2017).",Fabio Fernando Arroyave Rivas,Liberal Colombiano,,https://www.facebook.com/fabio.fernando.arroyave,,,,https://twitter.com/FabioFarroyave,Circunscripción Territorial de Valle del Cauca en Valle del Cauca,Maestría,Abogado/a,2018-2022,12 de mayo de 1989,34,La Unión,Masculino,,Capitolio Piso 2,4325100 ext 5322 - 5323,,
13,"Abogado de la Universidad de los Andes graduado en el 2007, tiene una Maestría en Derecho Internacional Económico de la Universidad de Ginebra Suiza, de la cual se graduó con una mención especial por su tesis sobre ‘Fusiones y Adquisiciones’.En mayo de 2012, regresa al país y a partir de diciembre del mismo año, asume la asesoría de gran parte de las cerca de 67.000 familias víctimas de la tragedia causada por el derrumbe del Relleno Sanitario Doña Juana, en 1997. Esto último, al enterarse que abogados y políticos inescrupulosos estaban sacando provecho de la sentencia del Consejo de Estado a favor de la familias afectadas y representadas legalmente por su padre, Guillermo Asprilla, tiempo atrás. Precisamente, fiel al modelo de su padre, Inti ha puesto su profesión al servicio de los más necesitados; asesoró a 125 familias de los barrios La Paz y Danubio Azul (Usme) evitando el desalojo de las mismas, obteniendo la nulidad de lo actuado y exigiendo el derecho de las familias para ser escuchadas.Inti Asprilla hoy es Representante a la Cámara por Bogotá de la Alianza Verde y miembro de la comisión V de esa Corporación. Continúa recorriendo los barrios populares de la ciudad, defendiendo las causas populares y heredando las luchas de su padre como el cierre definitivo del Relleno Sanitario.",Inti Raúl Asprilla Reyes,Alianza Verde Centro Esperanza Coalición,,https://www.facebook.com/intiasprilla/,,,,https://twitter.com/IntiAsprilla,Circunscripción Nacional en Distrito Capital,Maestría,Abogado/a,2022 - 2026,9 de octubre de 1981,41,Bogotá,Masculino,3219505341,Sótano - Capitolio Nacional,4325100 ext 3573 - 3574 - 3592,,https://bit.ly/3J5Ut5e
14,,Edwin Gilberto Ballesteros Archila,Centro Democrático,,https://www.facebook.com/Edwballesteros/,,,,,Circunscripción Territorial de Santander en Santander,Maestría,Abogado/a,2018-2022,18 de agosto de 1978,44,Capitanejo,Masculino,317 6494406,346B - 347B Ed. Nuevo del Congreso,4325100 ext: 4307 - 4345,,
15,"Estudió Biología Genética en Universidad del Valle, Licenciatura en Biología y Química en la USC, realizó 2 semestres de Economía Solidaria en la Universidad del Valle y Maestría en Educación con Énfasis en Evaluación y Currículo en la Javeriana de Cali.Aspiró al Concejo de Santiago de Cali para el periodo 2012 – 2015.",Hernán Banguero Andrade,Consejo Comunitario La Mamuncia,https://www.instagram.com/bangueroandrade/,https://www.facebook.com/Hernanconlagente,,,,https://twitter.com/HBanguero,Circunscripción Especial por Comunidades Afrocolombianas en Comunidades Afro,Maestría,Biólogo/a,2018-2022,4 de octubre de 1968,54,Cali,Masculino,,527 - 537 Ed. Nuevo del Congreso,4325100 ext: 4464,,
16,Administradora de empresas y diseñadora gráfica de la Universidad del Norte y especialista en Mercadeo y Gerencia Pública de la misma universidad. ,Jezmi Lizeth Barraza Arraut,Liberal Colombiano,,https://www.facebook.com/jezmibarraza107/,,,,https://twitter.com/JezBarraza,Circunscripción Territorial de Atlántico en Atlántico,Universitaria,Administrador/a de empresas,2022 - 2026,22 de septiembre de 1991,31,Soledad,Femenino,,515 Ed. Nuevo del Congreso,4325100 ext: 3506 - 3512,,https://bit.ly/37n6ky1
17,"Es médico-cirujano especializada en Gerencia de Servicios de Salud. Ha conseguido sus logros en el área de la medicina y la administración asumiendo y desempeñando el cargo de médico en el Hospital San Pedro, médico del Hospital Infantil, auditora médica del Hospital Departamental, médico Centro Hospital Guaitarilla E.S.E., Gerente Centro Hospital Guaitarilla E.S.E.Su trabajo continuo en el Municipio de Guaitarilla, le permitió conocer de cerca la problemática y el sentir de su gente; su excelente actividad como alcaldesa, en el periodo 2004-2007, le hizo concientizarse y sensibilizarse de las innumerables problemáticas, de ahí nace su impetuoso compromiso de lucha por la mujer nariñense, tanto de la ciudad como del sector rural, de las negritudes, de las comunidades indígenas, campesinas, artesanas y cabezas de familia.Fuente: https://www.lilianabenavides.com/",Diela Liliana Benavides Solarte,Conservador Colombiano,https://www.instagram.com/lilianabenavidessolarte/,https://www.facebook.com/dielaliliana.benavidessolarte,,,,,Circunscripción Nacional en Nariño,Especialización,Ciencias de la Salud,2022 - 2026,22 de abril de 1973,50,Pasto,Femenino,321 800 8758 / 318 548 0897,335B Ed. Nuevo Congreso,4325100 ext: 4423 - 4424 - 4425 - 4426,dilibes@hotmail.com,
18,"Es un joven cartagenero de 27 años, nacido un 13 de abril de 1991; egresado de la facultad de Derecho de la Universidad del Rosario y especialista en gobierno y gestión pública de la Universidad Javeriana.En su corta, pero destacada vida pública se ha desempeñado como: Asesor de la Dirección de Gobierno y Gestión Territorial del Ministerio del Interior, Asesor de la Primera Vicepresidencia de la Cámara de Representantes y Asesor de la Alcaldía de Cartagena.Tomado de: https://bit.ly/2RTptdu",Jorge Enrique Benedetti Martelo,Cambio Radical,,https://www.facebook.com/jorgeEBenedettiM/,,,,https://twitter.com/JorgeEBenedetti,Circunscripción Nacional en Córdoba,Especialización,Abogado/a,2022 - 2026,13 de abril de 1991,32,Cartagena,Masculino,,523B - 524B - Ed. Nuevo del Congreso,4325100 ext: 4088 - 4089 - 4350,,https://bit.ly/3hVKe7Q
19,"Abogado bellanita. Fue personero del municipio de Bello en el periodo 2008-2011, durante la alcaldía del uribista Óscar Andrés Pérez, quien lo respalda en la campaña a la Cámara. Viene de una carrera en el sector público como secretario del Concejo de Bello, asesor de la Cámara de Representantes, Secretario de Hacienda y Secretario de Gobierno de ese municipio.Tomado de: La Silla Vacía.http://bit.ly/2oFoodt",John Jairo Bermúdez Garcés,Centro Democrático,,https://www.facebook.com/BermudezRepresentante/,,,,https://twitter.com/BermudezReprese,Circunscripción Territorial de Antioquia en Antioquia,Universitaria,Abogado/a,2018-2022,5 de noviembre de 1956,66,Bello,Masculino,,446B - Ed. Nuevo del Congreso,4325100 Ext: 4328 - 4331 - 4332,,https://bit.ly/3tNtZ1Z
20,"Bachiller académico y desarrollo universitario en la Universidad Cooperativa de Colombia.Trayectoria pública y privada en la que no se reporta año: Presidente del Directorio Liberal del Guaviare, candidato a la Cámara de Representantes por esa colectividad para el periodo 2006 - 2010 y comerciante.",Alexánder Harley Bermúdez Lasso,Liberal Colombiano,https://www.instagram.com/alexbermudezla/,https://www.facebook.com/AlexanderBermudezOficial,,,,https://twitter.com/alexrepre?lang=es,Circunscripción Territorial de Guaviare en Guaviare,Bachillerato,Empresario,2022 - 2026,3 de febrero de 1974,49,San José del Guaviare,Masculino,,533 - 534 Ed. Nuevo del Congreso,4325100 ext: 3586 - 3587,alexander.bermudez@camara.gov.co,
21,"Administrador de Empresas de la Universidad de Antioquia, Especialista en Mercadeo Gerencial de la Universidad de Medellín y actualmente Estudiante de Maestría en Administración.En el sector público se desempeñó como Concejal del municipio de Donmatías para los periodos 1990-1992 y 1998-2000, igualmente electo Alcalde de Donmatías en los periodos 2001-2003 y 2008-2011.Ocupó la Dirección de Contratación del Área Metropolitana del Valle de Aburrá y la Dirección de Talento Humano Docente de la Secretaría de Educación del Departamento de Antioquia.Así mismo, en el sector privado cuenta con más de 20 años de labores en el tema de la industria de la confección y el transporte de pasajeros.",Jhon Jairo Berrío López,Centro Democrático,,https://www.facebook.com/jhonjairo.berriolopez?hc_ref=ARSqI_SoGUF5lKtFcbMHj01ci3OrafYuWslwX1kwdM2xI--YlOLuKrfZ58yzju_ZIvo&fref=nf,,,,https://twitter.com/jberriolopez,Circunscripción Territorial de Antioquia en Antioquia,Especialización,Administrador/a de empresas,2018-2022,29 de julio de 1971,51,Barbosa,Masculino,,615B - Ed. Nuevo del Congreso,4325100 ext: 3655,,
22,"ESTUDIOS:Pregrado:-Arquitectura- Universidad Piloto de Colombia. Graduado en 1995Posgrados:-Especialización:1. Ingeniería de Carreteras- UDENAR. Culminó plan de estudios- Grado pendiente.2.Gestión Regional del Desarrollo- Universidad de los Andes.Culminó plan de estudios-faltante asignatura de ingles-Grado pendiente.-Maestría:Estudios Interdisciplinarios del Desarrollo-UDENAR, Universidad del Cauca- Tesis aprobada-Fecha de grado pendiente.EXPERIENCIA:* 1999 – 2001. Secretario de Obras Municipio de Samaniego Nariño.* 2004 – 2008. Secretario de Infraestructura y minas del Departamento de Nariño, periodo en el que fue Gobernador Encargado en diferentes ocasiones.* 2010 – 2014. Representante a la Cámara por el Departamento de Nariño* 2011 Integrante de la mesa directiva del Congreso como Segundo Vicepresidente de la Cámara de Representantes.* 2014 – 2016. Representante a la Cámara por el Departamento de Nariño* 2018 – 2022. Representante a la Cámara por el Departamento de Nariño",Bayardo Gilberto Betancourt Pérez,Cambio Radical,,https://www.facebook.com/gilberto.betancourtperez,,,,,Circunscripción Territorial de Nariño en Nariño,Maestría,Arquitecto/a,2022 - 2026,24 de octubre de 1972,50,Samaniego,Masculino,316 405 4257,503B Ed. Nuevo del Congreso,4325100 ext: 3513 - 3514 - 4323,,
23,"Nacido y formado en la comuna número 5 de Medellín, barrio Boyacá las Brisas, estudiante primaria y secundaria instituciones públicas, abogado de la Universidad Autónoma de Medellín 1991, ex funcionario de la Rama Judicial área penal 1988-1991, Bienes y Zonas 1993-1998, ex Secretario de Gobierno Municipal de Támesis Antioquia 1992-1993,ex director Edatel s.a. esp, Gerente del Seguro Social en Antioquia años 1999 y 2000, Diputado de Antioquia periodos 2001- 2003 y 2004-2007, Presidente de esa Corporación 2006, Presidente de las Comisiones Internas de Presupuesto, Paz y Códigos, Ex vicepresidente Liga Antioqueña Futbol de salón y miembro actual del Comité Ejecutivo, Corporación Deportiva los Paisitas miembro Comisión Disciplinaria y miembro Comité Ejecutivo.Profesor Universitario hace 12 años en cátedras de Derecho Constitucional y Teoría del Estado actualmente UNAULA y LUIS AMIGO. Estudiante MAESTRÍA EN GOBIERNO Segundo semestre U de Medellín. Miembro Junta Directiva Encuentro Dirigentes del Suroeste Antioqueño 2004-2009. Especialista en Administraciòn Pública (ESAP), en Cultura Política (UNAULA), en Liderazgo (HISTADRUT ISRAEL), y en Gerencia Social (BID INDES WASHINTONG USA).",Germán Alcides Blanco Álvarez,Conservador Colombiano,,https://www.facebook.com/germanblancoa,,,,https://twitter.com/germanblancoA,Circunscripción Nacional en Antioquia,Especialización,Abogado/a,2022 - 2026,6 de noviembre de 1967,55,Medellín,Masculino,310 434 1565,Capitolio Piso 1,4325100 ext 5396 - 5397 - 5398,german_blanco@hotmail.com,
24,"Actividad Laboral:• Coordinador del Plan Nacional de Rehabilitación en el Departamento de Cauca.• Coordinador del proceso de líderes “Escuela para la Democracia”.• Apoyó a la Consejería de Paz en el proceso de desmovilización del grupo armado “Corriente de Renovación Socialista”.• Coordinador Regional por la delegación del Valle del Cauca a través de la Red de Solidaridad Social, acompañando a varios municipios de ese Departamento para la elaboración, presentación, control y seguimiento de proyectos.• Realizó la veeduría al Plan Ambiental Indígena del Departamento de Cauca. De la misma forma, lideró el convenio interadministrativo entre el municipio de Jambaló y la Gobernación del Cauca para la ejecución de los recursos EPSA- Proyectos de Desarrollo Comunitario.• Fue Secretario de Gobierno y Participación Comunitaria del Municipio en el municipio de Santander de Quilichao.• Alcalde del Municipio de Santander Quilichao 2004-2008.• Representante a la Cámara en el periodo constitucional 2010 – 2014 por el departamento del Valle, integró la Comisión Sexta Constitucional Permanente que trata los temas de transporte y comunicaciones.• Representante a la Cámara en el periodo constitucional 2014 – 2018 por el departamento del Valle, perteneció a la Comisión Tercera Constitucional Permanente que trata los temas de hacienda y crédito público, Vicepresidente de esta célula legislativa en el periodo 2016 - 2017.Comisión Legal para la Protección de los Derechos de las Comunidades Negras.",Carlos Julio Bonilla Soto,Liberal Colombiano,,https://www.facebook.com/CJBONILLASOTO/,,,,https://twitter.com/CJBONILLASOTO,Circunscripción Territorial de Cauca en Cauca,Universitaria,Administrador/a de empresas,2018-2022,10 de diciembre de 1963,59,Jamundí,Masculino,320 676 0789,621 - 622 Ed. Nuevo Congreso,432 5100 Ext: 3669 - 3670 - 3774,cjbonilla63@hotmail.com,http://www.youtube.com/user/PRENSACJBS?feature=watch
25,"Bachiller técnico agropecuario del Instituto Técnico Agrícola de Lorica, estudiante de séptimo semestre de Derecho en la Corporación Universitaria Remington de Montería.Se ha desempeñado como Director Técnico de la Unidad Municipal de Asistencia Técnica Agropecuaria, UMATA del período de 1991 al 1992, asesoró a pequeños, medianos y grandes productores, Director del Banco Agrario del municipio de San Antero del 2000 al 2002, Director del Banco Agrario del municipio de San Bernardo del Viento del año 2002 al 2004 y Asesor Financiero de la E.S.E Camu Santa Teresita del período de 2012 al 2013.A sus 46 años de edad, Jorge Enrique Burgos Lugo, ha acumulado una importante experiencia en el sector agrícola y ganadero, contribuyendo al bienestar socioeconómico de las poblaciones rurales, a la innovación del campo, al emprendimiento y al fortalecimiento empresarial.Se ha venido desempeñando como líder cívico, fue presidente del partido de la U en el municipio de San Bernardo del Viento. Su carrera política ha estado vinculada al movimiento jattinista.Tomado de: lavoz.co http://bit.ly/2HiBHY4",Jorge Enrique Burgos Lugo,Partido de la U - Partido de la Unión por la Gente,,https://www.facebook.com/JorgeBurgosU104/,,,,https://twitter.com/TitiBurgosL,Circunscripción Territorial de Córdoba en Córdoba,Universitaria Incompleta,Abogado/a,2018-2022,15 de septiembre de 1971,51,Lorica,Masculino,,528B - 529B Ed. Nuevo del Congreso,4325100 ext: 3601,,
