nombre,camara,genero,fecha_nacimiento,nivel_educativo,partido,estado,comision_constitucional,circunscripción,correo,twitter,pagina_web,codigo_dane,profesion
Daniel Alberto Cabrales Castillo,senador2014,Masculino,8/6/1977,maestría,PARTIDO CENTRO DEMOCRÁTICO,inactivo,5,CÓRDOBA,,Dcabralescast,,1211,Administración de Empresas
Ángel Custodio Cabrera Baez,senador2014,Masculino,19/07/1956,especialización,PARTIDO DE LA UNIDAD SOCIAL,inactivo,6,BOGOTÁ,,angelccabrera,,2411,Contador
Sandra Elena Villadiego Villadiego,senador2014,Masculino,16/03/1968,especialización,PARTIDO DE LA UNIDAD SOCIAL,inactivo,6,BOLÍVAR,,,,1342,Administrador de centro de salud
Mario Alberto Fernandez Alcocer,senador2014,Masculino,23/05/1979,,PARTIDO LIBERAL COLOMBIANO,inactivo,6,SUCRE,,MarioFerAlco,,2611,Abogado
Guillermo Santos Marin,senador2014,Masculino,25/07/1952,,PARTIDO LIBERAL COLOMBIANO,inactivo,6,TOLIMA,,santosmarin1952,,2132,Ingeniero agrónomo 
Rosmery Martínez Rosales,senador2014,Masculino,11/3/1963,maestría,PARTIDO CAMBIO RADICAL,inactivo,6,TOLIMA,,RosMartinezr,,2342,Docente de preescolar
Jorge Hernando Pedraza Gutiérrez,senador2014,Masculino,18/05/1963,especialización,PARTIDO CONSERVADOR COLOMBIANO,inactivo,6,BOYACÁ,,JHPedraza,,2611,Abogado
Nerthink Mauricio Aguilar Hurtado,senador2014,Masculino,10/4/1976,especialización,PARTIDO OPCIÓN CIUDADANA,inactivo,6,SANTANDER,,,,2141,Ingeniero industrial
Segundo Senen Niño Avendaño,senador2014,Masculino,28/05/1954,,POLO DEMOCRÁTICO ALTERNATIVO,inactivo,6,BOYACÁ,,SenadorSenen,,2351,Especialista en métodos pedagógicos
Jorge Eliecer Prieto Riveros,senador2014,Masculino,15/01/1949,doctorado,PARTIDO ALIANZA VERDE,inactivo,6,CASANARE,,,,2611,Abogado
Everth Bustamante García,senador2014,Masculino,,maestría,PARTIDO CENTRO DEMOCRÁTICO,inactivo,6,CUNDINAMARCA,,,,2611,Abogado
Susana Correa Borrero,senador2014,Femenino,,especialización,PARTIDO CENTRO DEMOCRÁTICO,inactivo,6,VALLE DEL CAUCA,,,,2141,Ingeniero industrial
Carlos Enrique Soto Jaramillo,senador2014,Masculino,16/07/1954,,PARTIDO DE LA UNIDAD SOCIAL,inactivo,7,RISARALDA,,,,,
Edinson Delgado Ruiz,senador2014,Masculino,20/07/1959,,PARTIDO LIBERAL COLOMBIANO,inactivo,7,VALLE DEL CAUCA,,,,2631,Economista
Sofía Gaviria Correa,senador2014,Masculino,18/02/1972,,PARTIDO LIBERAL COLOMBIANO,inactivo,7,ANTIOQUIA,,SOFIAGAVIRIAC,,2633,Politólogo
Javier Mauricio Delgado Martínez,senador2014,Masculino,30/03/1973,,PARTIDO CONSERVADOR COLOMBIANO,inactivo,7,VALLE DEL CAUCA,,,,2611,Abogado
Yamina del Carmen Pestana Rojas,senador2014,Femenino,24/10/1970,especialización,PARTIDO CONSERVADOR COLOMBIANO,inactivo,7,CÓRDOBA,,SenadoYaminaP,,1211,Administración de Empresas
Antonio Jose Correa Jiménez,senador2014,Masculino,14/06/1976,,PARTIDO OPCIÓN CIUDADANA,inactivo,7,BOLÍVAR,,_AntonioCorrea,,2212,Médico cirujano
Luis Evelis Andrade Casamá,senador2014,Masculino,9/5/1967,,MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL,inactivo,7,,,,,2611,Abogado
Jorge Iván Ospina Gómez,senador2014,Masculino,1/10/1965,especialización,PARTIDO ALIANZA VERDE,inactivo,7,VALLE DEL CAUCA,,JorgeIvanOspina,,2212,Médico cirujano
Orlando Castañeda Serrano,senador2014,Masculino,,,PARTIDO CENTRO DEMOCRÁTICO,inactivo,7,BOGOTÁ,,OrlandoCast12,,2656,Locutor
